Img_name,Purpose,Class
00157.jpg,valid,motorcycle
00158.jpg,valid,motorcycle
00159.jpg,valid,motorcycle
00160.jpg,valid,motorcycle
00161.jpg,valid,motorcycle
00162.jpg,valid,motorcycle
00163.jpg,valid,motorcycle
00164.jpg,valid,motorcycle
00165.jpg,valid,motorcycle
00166.jpg,valid,motorcycle
00167.jpg,valid,motorcycle
00168.jpg,valid,motorcycle
00169.jpg,valid,motorcycle
00170.jpg,valid,motorcycle
00171.jpg,valid,motorcycle
00172.jpg,valid,motorcycle
00173.jpg,valid,motorcycle
00174.jpg,valid,motorcycle
00175.jpg,valid,motorcycle
00176.jpg,valid,motorcycle
00177.jpg,valid,motorcycle
00178.jpg,valid,motorcycle
00179.jpg,valid,motorcycle
00180.jpg,valid,motorcycle
00181.jpg,valid,motorcycle
00182.jpg,valid,motorcycle
00183.jpg,valid,motorcycle
00184.jpg,valid,motorcycle
00185.jpg,valid,motorcycle
00186.jpg,valid,motorcycle
00187.jpg,valid,motorcycle
00188.jpg,valid,motorcycle
00189.jpg,valid,motorcycle
00190.jpg,valid,motorcycle
00191.jpg,valid,motorcycle
00192.jpg,valid,motorcycle
00193.jpg,valid,motorcycle
00194.jpg,valid,motorcycle
00195.jpg,valid,motorcycle
00196.jpg,valid,motorcycle
00197.jpg,valid,motorcycle
00198.jpg,valid,motorcycle
00199.jpg,valid,motorcycle
00200.jpg,valid,motorcycle
00201.jpg,test,motorcycle
00202.jpg,test,motorcycle
00203.jpg,test,motorcycle
00204.jpg,test,motorcycle
00205.jpg,test,motorcycle
00206.jpg,test,motorcycle
00207.jpg,test,motorcycle
00208.jpg,test,motorcycle
00209.jpg,test,motorcycle
00210.jpg,test,motorcycle
00211.jpg,test,motorcycle
00212.jpg,test,motorcycle
00213.jpg,test,motorcycle
00214.jpg,test,motorcycle
00215.jpg,test,motorcycle
00216.jpg,test,motorcycle
00217.jpg,test,motorcycle
00218.jpg,test,motorcycle
00219.jpg,test,motorcycle
00220.jpg,test,motorcycle
00221.jpg,test,motorcycle
00222.jpg,test,motorcycle
00223.jpg,test,motorcycle
00224.jpg,test,motorcycle
00225.jpg,test,motorcycle
00226.jpg,test,motorcycle
00227.jpg,test,motorcycle
00228.jpg,test,motorcycle
00229.jpg,test,motorcycle
00230.jpg,test,motorcycle
00231.jpg,test,motorcycle
00232.jpg,test,motorcycle
00233.jpg,test,motorcycle
00234.jpg,test,motorcycle
00235.jpg,test,motorcycle
00236.jpg,test,motorcycle
00237.jpg,test,motorcycle
00238.jpg,test,motorcycle
00239.jpg,test,motorcycle
00240.jpg,test,motorcycle
00241.jpg,test,motorcycle
00242.jpg,test,motorcycle
00243.jpg,test,motorcycle
00244.jpg,test,motorcycle
00245.jpg,test,motorcycle
00246.jpg,test,motorcycle
00247.jpg,test,motorcycle
00248.jpg,test,motorcycle
00249.jpg,test,motorcycle
00250.jpg,test,motorcycle
00251.jpg,train,car
00252.jpg,train,car
00253.jpg,train,car
00254.jpg,train,car
00255.jpg,train,car
00256.jpg,train,car
00257.jpg,train,car
00258.jpg,train,car
00259.jpg,train,car
00260.jpg,train,car
00261.jpg,train,car
00262.jpg,train,car
00263.jpg,train,car
00264.jpg,train,car
00265.jpg,train,car
00266.jpg,train,car
00267.jpg,train,car
00268.jpg,train,car
00269.jpg,train,car
00270.jpg,train,car
00271.jpg,train,car
00272.jpg,train,car
00273.jpg,train,car
00274.jpg,train,car
00275.jpg,train,car
00276.jpg,train,car
00277.jpg,train,car
00278.jpg,train,car
00279.jpg,train,car
00280.jpg,train,car
00281.jpg,train,car
00282.jpg,train,car
00283.jpg,train,car
00284.jpg,train,car
00285.jpg,train,car
00286.jpg,train,car
00287.jpg,train,car
00288.jpg,train,car
00289.jpg,train,car
00290.jpg,train,car
00291.jpg,train,car
00292.jpg,train,car
00293.jpg,train,car
00294.jpg,train,car
00295.jpg,train,car
00296.jpg,train,car
00297.jpg,train,car
00298.jpg,train,car
00299.jpg,train,car
00300.jpg,train,car
00301.jpg,train,car
00302.jpg,train,car
00303.jpg,train,car
00304.jpg,train,car
00305.jpg,train,car
00306.jpg,train,car
00307.jpg,train,car
00308.jpg,train,car
00309.jpg,train,car
00310.jpg,train,car
00311.jpg,train,car
00312.jpg,train,car
00313.jpg,train,car
00314.jpg,train,car
00315.jpg,train,car
00316.jpg,train,car
00317.jpg,train,car
00318.jpg,train,car
00319.jpg,train,car
00320.jpg,train,car
00321.jpg,train,car
00322.jpg,train,car
00323.jpg,train,car
00324.jpg,train,car
00325.jpg,train,car
00326.jpg,train,car
00327.jpg,train,car
00328.jpg,train,car
00329.jpg,train,car
00330.jpg,train,car
00331.jpg,train,car
00332.jpg,train,car
00333.jpg,train,car
00334.jpg,train,car
00335.jpg,train,car
00336.jpg,train,car
00337.jpg,train,car
00338.jpg,train,car
00339.jpg,train,car
00340.jpg,train,car
00341.jpg,train,car
00342.jpg,train,car
00343.jpg,train,car
00344.jpg,train,car
00345.jpg,train,car
00346.jpg,train,car
00347.jpg,train,car
00348.jpg,train,car
00349.jpg,train,car
00350.jpg,train,car
00351.jpg,train,car
00352.jpg,train,car
00353.jpg,train,car
00354.jpg,train,car
00355.jpg,train,car
00356.jpg,train,car
00357.jpg,train,car
00358.jpg,train,car
00359.jpg,train,car
00360.jpg,train,car
00361.jpg,train,car
00362.jpg,train,car
00363.jpg,train,car
00364.jpg,train,car
00365.jpg,train,car
00366.jpg,train,car
00367.jpg,train,car
00368.jpg,train,car
00369.jpg,train,car
00370.jpg,train,car
00371.jpg,train,car
00372.jpg,train,car
00373.jpg,train,car
00374.jpg,train,car
00375.jpg,train,car
00376.jpg,train,car
00377.jpg,train,car
00378.jpg,train,car
00379.jpg,train,car
00380.jpg,train,car
00381.jpg,train,car
00382.jpg,train,car
00383.jpg,train,car
00384.jpg,train,car
00385.jpg,train,car
00386.jpg,train,car
00387.jpg,train,car
00388.jpg,train,car
00389.jpg,train,car
00390.jpg,train,car
00391.jpg,train,car
00392.jpg,train,car
00393.jpg,train,car
00394.jpg,train,car
00395.jpg,train,car
00396.jpg,train,car
00397.jpg,train,car
00398.jpg,train,car
00399.jpg,train,car
00400.jpg,train,car
00401.jpg,valid,car
00402.jpg,valid,car
00403.jpg,valid,car
00404.jpg,valid,car
00405.jpg,valid,car
00406.jpg,valid,car
00407.jpg,valid,car
00408.jpg,valid,car
00409.jpg,valid,car
00410.jpg,valid,car
00411.jpg,valid,car
00412.jpg,valid,car
00413.jpg,valid,car
00414.jpg,valid,car
00415.jpg,valid,car
00416.jpg,valid,car
00417.jpg,valid,car
00418.jpg,valid,car
00419.jpg,valid,car
00420.jpg,valid,car
00421.jpg,valid,car
00422.jpg,valid,car
00423.jpg,valid,car
00424.jpg,valid,car
00425.jpg,valid,car
00426.jpg,valid,car
00427.jpg,valid,car
00428.jpg,valid,car
00429.jpg,valid,car
00430.jpg,valid,car
00431.jpg,valid,car
00432.jpg,valid,car
00433.jpg,valid,car
00434.jpg,valid,car
00435.jpg,valid,car
00436.jpg,valid,car
00437.jpg,valid,car
00438.jpg,valid,car
00439.jpg,valid,car
00440.jpg,valid,car
00441.jpg,valid,car
00442.jpg,valid,car
00443.jpg,valid,car
00444.jpg,valid,car
00445.jpg,valid,car
00446.jpg,valid,car
00447.jpg,valid,car
00448.jpg,valid,car
00449.jpg,valid,car
00450.jpg,valid,car
00451.jpg,test,car
00452.jpg,test,car
00453.jpg,test,car
00454.jpg,test,car
00455.jpg,test,car
00456.jpg,test,car
00457.jpg,test,car
00458.jpg,test,car
00459.jpg,test,car
00460.jpg,test,car
00461.jpg,test,car
00462.jpg,test,car
00463.jpg,test,car
00464.jpg,test,car
00465.jpg,test,car
00466.jpg,test,car
00467.jpg,test,car
00468.jpg,test,car
00469.jpg,test,car
00470.jpg,test,car
00471.jpg,test,car
00472.jpg,test,car
00473.jpg,test,car
00474.jpg,test,car
00475.jpg,test,car
00476.jpg,test,car
00477.jpg,test,car
00478.jpg,test,car
00479.jpg,test,car
00480.jpg,test,car
00481.jpg,test,car
00482.jpg,test,car
00483.jpg,test,car
00484.jpg,test,car
00485.jpg,test,car
00486.jpg,test,car
00487.jpg,test,car
00488.jpg,test,car
00489.jpg,test,car
00490.jpg,test,car
00491.jpg,test,car
00492.jpg,test,car
00493.jpg,test,car
00494.jpg,test,car
00495.jpg,test,car
00496.jpg,test,car
00497.jpg,test,car
00498.jpg,test,car
00499.jpg,test,car
00500.jpg,test,car
00501.jpg,train,bicycle
00502.jpg,train,bicycle
00503.jpg,train,bicycle
00504.jpg,train,bicycle
00505.jpg,train,bicycle
00506.jpg,train,bicycle
00507.jpg,train,bicycle
00508.jpg,train,bicycle
00509.jpg,train,bicycle
00510.jpg,train,bicycle
00511.jpg,train,bicycle
00512.jpg,train,bicycle
00513.jpg,train,bicycle
00514.jpg,train,bicycle
00515.jpg,train,bicycle
00516.jpg,train,bicycle
00517.jpg,train,bicycle
00518.jpg,train,bicycle
00519.jpg,train,bicycle
00520.jpg,train,bicycle
00521.jpg,train,bicycle
00522.jpg,train,bicycle
00523.jpg,train,bicycle
00524.jpg,train,bicycle
00525.jpg,train,bicycle
00526.jpg,train,bicycle
00527.jpg,train,bicycle
00528.jpg,train,bicycle
00529.jpg,train,bicycle
00530.jpg,train,bicycle
00531.jpg,train,bicycle
00532.jpg,train,bicycle
00533.jpg,train,bicycle
00534.jpg,train,bicycle
00535.jpg,train,bicycle
00536.jpg,train,bicycle
00537.jpg,train,bicycle
00538.jpg,train,bicycle
00539.jpg,train,bicycle
00540.jpg,train,bicycle
00541.jpg,train,bicycle
00542.jpg,train,bicycle
00543.jpg,train,bicycle
00544.jpg,train,bicycle
00545.jpg,train,bicycle
00546.jpg,train,bicycle
00547.jpg,train,bicycle
00548.jpg,train,bicycle
00549.jpg,train,bicycle
00550.jpg,train,bicycle
00551.jpg,train,bicycle
00552.jpg,train,bicycle
00553.jpg,train,bicycle
00554.jpg,train,bicycle
00555.jpg,train,bicycle
00556.jpg,train,bicycle
00557.jpg,train,bicycle
00558.jpg,train,bicycle
00559.jpg,train,bicycle
00560.jpg,train,bicycle
00561.jpg,train,bicycle
00562.jpg,train,bicycle
00563.jpg,train,bicycle
00564.jpg,train,bicycle
00565.jpg,train,bicycle
00566.jpg,train,bicycle
00567.jpg,train,bicycle
00568.jpg,train,bicycle
00569.jpg,train,bicycle
00570.jpg,train,bicycle
00571.jpg,train,bicycle
00572.jpg,train,bicycle
00573.jpg,train,bicycle
00574.jpg,train,bicycle
00575.jpg,train,bicycle
00576.jpg,train,bicycle
00577.jpg,train,bicycle
00578.jpg,train,bicycle
00579.jpg,train,bicycle
00580.jpg,train,bicycle
00581.jpg,train,bicycle
00582.jpg,train,bicycle
00583.jpg,train,bicycle
00584.jpg,train,bicycle
00585.jpg,train,bicycle
00586.jpg,train,bicycle
00587.jpg,train,bicycle
00588.jpg,train,bicycle
00589.jpg,train,bicycle
00590.jpg,train,bicycle
00591.jpg,train,bicycle
00592.jpg,train,bicycle
00593.jpg,train,bicycle
00594.jpg,train,bicycle
00595.jpg,train,bicycle
00596.jpg,train,bicycle
00597.jpg,train,bicycle
00598.jpg,train,bicycle
00599.jpg,train,bicycle
00600.jpg,train,bicycle
00601.jpg,train,bicycle
00602.jpg,train,bicycle
00603.jpg,train,bicycle
00604.jpg,train,bicycle
00605.jpg,train,bicycle
00606.jpg,train,bicycle
00607.jpg,train,bicycle
00608.jpg,train,bicycle
00609.jpg,train,bicycle
00610.jpg,train,bicycle
00611.jpg,train,bicycle
00612.jpg,train,bicycle
00613.jpg,train,bicycle
00614.jpg,train,bicycle
00615.jpg,train,bicycle
00616.jpg,train,bicycle
00617.jpg,train,bicycle
00618.jpg,train,bicycle
00619.jpg,train,bicycle
00620.jpg,train,bicycle
00621.jpg,train,bicycle
00622.jpg,train,bicycle
00623.jpg,train,bicycle
00624.jpg,train,bicycle
00625.jpg,train,bicycle
00626.jpg,train,bicycle
00627.jpg,train,bicycle
00628.jpg,train,bicycle
00629.jpg,train,bicycle
00630.jpg,train,bicycle
00631.jpg,train,bicycle
00632.jpg,train,bicycle
00633.jpg,train,bicycle
00634.jpg,train,bicycle
00635.jpg,train,bicycle
00636.jpg,train,bicycle
00637.jpg,train,bicycle
00638.jpg,train,bicycle
00639.jpg,train,bicycle
00640.jpg,train,bicycle
00641.jpg,train,bicycle
00642.jpg,train,bicycle
00643.jpg,train,bicycle
00644.jpg,train,bicycle
00645.jpg,train,bicycle
00646.jpg,train,bicycle
00647.jpg,train,bicycle
00648.jpg,train,bicycle
00649.jpg,train,bicycle
00650.jpg,train,bicycle
00651.jpg,valid,bicycle
00652.jpg,valid,bicycle
00653.jpg,valid,bicycle
00654.jpg,valid,bicycle
00655.jpg,valid,bicycle
00656.jpg,valid,bicycle
00657.jpg,valid,bicycle
00658.jpg,valid,bicycle
00659.jpg,valid,bicycle
00660.jpg,valid,bicycle
00661.jpg,valid,bicycle
00662.jpg,valid,bicycle
00663.jpg,valid,bicycle
00664.jpg,valid,bicycle
00665.jpg,valid,bicycle
00666.jpg,valid,bicycle
00667.jpg,valid,bicycle
00668.jpg,valid,bicycle
00669.jpg,valid,bicycle
00670.jpg,valid,bicycle
00671.jpg,valid,bicycle
00672.jpg,valid,bicycle
00673.jpg,valid,bicycle
00674.jpg,valid,bicycle
00675.jpg,valid,bicycle
00676.jpg,valid,bicycle
00677.jpg,valid,bicycle
00678.jpg,valid,bicycle
00679.jpg,valid,bicycle
00680.jpg,valid,bicycle
00681.jpg,valid,bicycle
00682.jpg,valid,bicycle
00683.jpg,valid,bicycle
00684.jpg,valid,bicycle
00685.jpg,valid,bicycle
00686.jpg,valid,bicycle
00687.jpg,valid,bicycle
00688.jpg,valid,bicycle
00689.jpg,valid,bicycle
00690.jpg,valid,bicycle
00691.jpg,valid,bicycle
00692.jpg,valid,bicycle
00693.jpg,valid,bicycle
00694.jpg,valid,bicycle
00695.jpg,valid,bicycle
00696.jpg,valid,bicycle
00697.jpg,valid,bicycle
00698.jpg,valid,bicycle
00699.jpg,valid,bicycle
00700.jpg,valid,bicycle
00701.jpg,test,bicycle
00702.jpg,test,bicycle
00703.jpg,test,bicycle
00704.jpg,test,bicycle
00705.jpg,test,bicycle
00706.jpg,test,bicycle
00707.jpg,test,bicycle
00708.jpg,test,bicycle
00709.jpg,test,bicycle
00710.jpg,test,bicycle
00711.jpg,test,bicycle
00712.jpg,test,bicycle
00713.jpg,test,bicycle
00714.jpg,test,bicycle
00715.jpg,test,bicycle
00716.jpg,test,bicycle
00717.jpg,test,bicycle
00718.jpg,test,bicycle
00719.jpg,test,bicycle
00720.jpg,test,bicycle
00721.jpg,test,bicycle
00722.jpg,test,bicycle
00723.jpg,test,bicycle
00724.jpg,test,bicycle
00725.jpg,test,bicycle
00726.jpg,test,bicycle
00727.jpg,test,bicycle
00728.jpg,test,bicycle
00729.jpg,test,bicycle
00730.jpg,test,bicycle
00731.jpg,test,bicycle
00732.jpg,test,bicycle
00733.jpg,test,bicycle
00734.jpg,test,bicycle
00735.jpg,test,bicycle
00736.jpg,test,bicycle
00737.jpg,test,bicycle
00738.jpg,test,bicycle
00739.jpg,test,bicycle
00740.jpg,test,bicycle
00741.jpg,test,bicycle
00742.jpg,test,bicycle
00743.jpg,test,bicycle
00744.jpg,test,bicycle
00745.jpg,test,bicycle
00746.jpg,test,bicycle
00747.jpg,test,bicycle
00748.jpg,test,bicycle
00749.jpg,test,bicycle
00750.jpg,test,bicycle
00751.jpg,train,pedestrian
00752.jpg,train,pedestrian
00753.jpg,train,pedestrian
00754.jpg,train,pedestrian
00755.jpg,train,pedestrian
00756.jpg,train,pedestrian
00757.jpg,train,pedestrian
00758.jpg,train,pedestrian
00759.jpg,train,pedestrian
00760.jpg,train,pedestrian
00761.jpg,train,pedestrian
00762.jpg,train,pedestrian
00763.jpg,train,pedestrian
00764.jpg,train,pedestrian
00765.jpg,train,pedestrian
00766.jpg,train,pedestrian
00767.jpg,train,pedestrian
00768.jpg,train,pedestrian
00769.jpg,train,pedestrian
00770.jpg,train,pedestrian
00771.jpg,train,pedestrian
00772.jpg,train,pedestrian
00773.jpg,train,pedestrian
00774.jpg,train,pedestrian
00775.jpg,train,pedestrian
00776.jpg,train,pedestrian
00777.jpg,train,pedestrian
00778.jpg,train,pedestrian
00779.jpg,train,pedestrian
00780.jpg,train,pedestrian
00781.jpg,train,pedestrian
00782.jpg,train,pedestrian
00783.jpg,train,pedestrian
00784.jpg,train,pedestrian
00785.jpg,train,pedestrian
00786.jpg,train,pedestrian
00787.jpg,train,pedestrian
00788.jpg,train,pedestrian
00789.jpg,train,pedestrian
00790.jpg,train,pedestrian
00791.jpg,train,pedestrian
00792.jpg,train,pedestrian
00793.jpg,train,pedestrian
00794.jpg,train,pedestrian
00795.jpg,train,pedestrian
00796.jpg,train,pedestrian
00797.jpg,train,pedestrian
00798.jpg,train,pedestrian
00799.jpg,train,pedestrian
00800.jpg,train,pedestrian
00801.jpg,train,pedestrian
00802.jpg,train,pedestrian
00803.jpg,train,pedestrian
00804.jpg,train,pedestrian
00805.jpg,train,pedestrian
00806.jpg,train,pedestrian
00807.jpg,train,pedestrian
00808.jpg,train,pedestrian
00809.jpg,train,pedestrian
00810.jpg,train,pedestrian
00811.jpg,train,pedestrian
00812.jpg,train,pedestrian
00813.jpg,train,pedestrian
00814.jpg,train,pedestrian
00815.jpg,train,pedestrian
00816.jpg,train,pedestrian
00817.jpg,train,pedestrian
00818.jpg,train,pedestrian
00819.jpg,train,pedestrian
00820.jpg,train,pedestrian
00821.jpg,train,pedestrian
00822.jpg,train,pedestrian
00823.jpg,train,pedestrian
00824.jpg,train,pedestrian
00825.jpg,train,pedestrian
00826.jpg,train,pedestrian
00827.jpg,train,pedestrian
00828.jpg,train,pedestrian
00829.jpg,train,pedestrian
00830.jpg,train,pedestrian
00831.jpg,train,pedestrian
00832.jpg,train,pedestrian
00833.jpg,train,pedestrian
00834.jpg,train,pedestrian
00835.jpg,train,pedestrian
00836.jpg,train,pedestrian
00837.jpg,train,pedestrian
00838.jpg,train,pedestrian
00839.jpg,train,pedestrian
00840.jpg,train,pedestrian
00841.jpg,train,pedestrian
00842.jpg,train,pedestrian
00843.jpg,train,pedestrian
00844.jpg,train,pedestrian
00845.jpg,train,pedestrian
00846.jpg,train,pedestrian
00847.jpg,train,pedestrian
00848.jpg,train,pedestrian
00849.jpg,train,pedestrian
00850.jpg,train,pedestrian
00851.jpg,train,pedestrian
00852.jpg,train,pedestrian
00853.jpg,train,pedestrian
00854.jpg,train,pedestrian
00855.jpg,train,pedestrian
00856.jpg,train,pedestrian
00857.jpg,train,pedestrian
00858.jpg,train,pedestrian
00859.jpg,train,pedestrian
00860.jpg,train,pedestrian
00861.jpg,train,pedestrian
00862.jpg,train,pedestrian
00863.jpg,train,pedestrian
00864.jpg,train,pedestrian
00865.jpg,train,pedestrian
00866.jpg,train,pedestrian
00867.jpg,train,pedestrian
00868.jpg,train,pedestrian
00869.jpg,train,pedestrian
00870.jpg,train,pedestrian
00871.jpg,train,pedestrian
00872.jpg,train,pedestrian
00873.jpg,train,pedestrian
00874.jpg,train,pedestrian
00875.jpg,train,pedestrian
00876.jpg,train,pedestrian
00877.jpg,train,pedestrian
00878.jpg,train,pedestrian
00879.jpg,train,pedestrian
00880.jpg,train,pedestrian
00881.jpg,train,pedestrian
00882.jpg,train,pedestrian
00883.jpg,train,pedestrian
00884.jpg,train,pedestrian
00885.jpg,train,pedestrian
00886.jpg,train,pedestrian
00887.jpg,train,pedestrian
00888.jpg,train,pedestrian
00889.jpg,train,pedestrian
00890.jpg,train,pedestrian
00891.jpg,train,pedestrian
00892.jpg,train,pedestrian
00893.jpg,train,pedestrian
00894.jpg,train,pedestrian
00895.jpg,train,pedestrian
00896.jpg,train,pedestrian
00897.jpg,valid,pedestrian
00898.jpg,valid,pedestrian
00899.jpg,valid,pedestrian
00900.jpg,valid,pedestrian
00901.jpg,valid,pedestrian
00902.jpg,valid,pedestrian
00903.jpg,valid,pedestrian
00904.jpg,valid,pedestrian
00905.jpg,valid,pedestrian
00906.jpg,valid,pedestrian
00907.jpg,valid,pedestrian
00908.jpg,valid,pedestrian
00909.jpg,valid,pedestrian
00910.jpg,valid,pedestrian
00911.jpg,valid,pedestrian
00912.jpg,valid,pedestrian
00913.jpg,valid,pedestrian
00914.jpg,valid,pedestrian
00915.jpg,valid,pedestrian
00916.jpg,valid,pedestrian
00917.jpg,valid,pedestrian
00918.jpg,valid,pedestrian
00919.jpg,valid,pedestrian
00920.jpg,valid,pedestrian
